grid_id,timestamp,alert_type,current_activity,baseline_activity,reason
4134,2013-11-01 03:00:00,ACTIVITY_DROP,150.6324,335.23339999999996,Current activity 150.63 is at or below 0.70x the within-day baseline 335.23.
4134,2013-11-01 04:00:00,ACTIVITY_DROP,168.46890000000002,335.23339999999996,Current activity 168.47 is at or below 0.70x the within-day baseline 335.23.
4134,2013-11-01 05:00:00,ACTIVITY_DROP,157.1501,335.23339999999996,Current activity 157.15 is at or below 0.70x the within-day baseline 335.23.
4134,2013-11-01 06:00:00,ACTIVITY_DROP,152.50979999999998,335.23339999999996,Current activity 152.51 is at or below 0.70x the within-day baseline 335.23.
4134,2013-11-01 07:00:00,ACTIVITY_DROP,191.1594,335.23339999999996,Current activity 191.16 is at or below 0.70x the within-day baseline 335.23.
4134,2013-11-01 08:00:00,ACTIVITY_SPIKE,288.6642,335.23339999999996,"Activity increased from 191.16 to 288.66, at least 1.50x the previous hour."
4134,2013-11-01 13:00:00,HIGH_ACTIVITY,515.1047,334.7436,Current activity 515.10 is at least 1.50x the within-day baseline 334.74.
4135,2013-11-01 00:00:00,ACTIVITY_DROP,244.8482,353.86660000000006,Current activity 244.85 is at or below 0.70x the within-day baseline 353.87.
4135,2013-11-01 02:00:00,ACTIVITY_DROP,211.0882,353.86660000000006,Current activity 211.09 is at or below 0.70x the within-day baseline 353.87.
4135,2013-11-01 03:00:00,ACTIVITY_DROP,161.5959,353.86660000000006,Current activity 161.60 is at or below 0.70x the within-day baseline 353.87.
4135,2013-11-01 04:00:00,ACTIVITY_DROP,168.322,353.86660000000006,Current activity 168.32 is at or below 0.70x the within-day baseline 353.87.
4135,2013-11-01 05:00:00,ACTIVITY_DROP,158.6165,353.86660000000006,Current activity 158.62 is at or below 0.70x the within-day baseline 353.87.
4135,2013-11-01 06:00:00,ACTIVITY_DROP,158.2133,353.86660000000006,Current activity 158.21 is at or below 0.70x the within-day baseline 353.87.
4135,2013-11-01 07:00:00,ACTIVITY_DROP,193.56869999999998,353.86660000000006,Current activity 193.57 is at or below 0.70x the within-day baseline 353.87.
4136,2013-11-01 00:00:00,ACTIVITY_DROP,405.5846,678.6459000000001,Current activity 405.58 is at or below 0.70x the within-day baseline 678.65.
4136,2013-11-01 01:00:00,ACTIVITY_DROP,441.02680000000004,678.6459000000001,Current activity 441.03 is at or below 0.70x the within-day baseline 678.65.
4136,2013-11-01 02:00:00,ACTIVITY_DROP,474.2572,678.6459000000001,Current activity 474.26 is at or below 0.70x the within-day baseline 678.65.
4136,2013-11-01 03:00:00,ACTIVITY_DROP,310.4404,678.6459000000001,Current activity 310.44 is at or below 0.70x the within-day baseline 678.65.
4136,2013-11-01 04:00:00,ACTIVITY_DROP,283.5699,678.6459000000001,Current activity 283.57 is at or below 0.70x the within-day baseline 678.65.
4136,2013-11-01 05:00:00,ACTIVITY_DROP,247.86690000000002,678.6459000000001,Current activity 247.87 is at or below 0.70x the within-day baseline 678.65.
4136,2013-11-01 06:00:00,ACTIVITY_DROP,263.8384,678.6459000000001,Current activity 263.84 is at or below 0.70x the within-day baseline 678.65.
4136,2013-11-01 07:00:00,ACTIVITY_DROP,308.9921,678.6459000000001,Current activity 308.99 is at or below 0.70x the within-day baseline 678.65.
4136,2013-11-01 08:00:00,ACTIVITY_SPIKE,481.371,678.6459000000001,"Activity increased from 308.99 to 481.37, at least 1.50x the previous hour."
4136,2013-11-01 15:00:00,HIGH_ACTIVITY,1043.9044999999999,665.1878,Current activity 1043.90 is at least 1.50x the within-day baseline 665.19.
4136,2013-11-01 16:00:00,HIGH_ACTIVITY,1005.0911,665.1878,Current activity 1005.09 is at least 1.50x the within-day baseline 665.19.
4137,2013-11-01 00:00:00,ACTIVITY_DROP,323.2206,634.5609999999999,Current activity 323.22 is at or below 0.70x the within-day baseline 634.56.
4137,2013-11-01 01:00:00,ACTIVITY_DROP,293.74610000000007,634.5609999999999,Current activity 293.75 is at or below 0.70x the within-day baseline 634.56.
4137,2013-11-01 02:00:00,ACTIVITY_DROP,287.04290000000003,634.5609999999999,Current activity 287.04 is at or below 0.70x the within-day baseline 634.56.
4137,2013-11-01 03:00:00,ACTIVITY_DROP,223.90050000000002,634.5609999999999,Current activity 223.90 is at or below 0.70x the within-day baseline 634.56.
4137,2013-11-01 04:00:00,ACTIVITY_DROP,188.99239999999998,634.5609999999999,Current activity 188.99 is at or below 0.70x the within-day baseline 634.56.
4137,2013-11-01 05:00:00,ACTIVITY_DROP,180.87630000000001,634.5609999999999,Current activity 180.88 is at or below 0.70x the within-day baseline 634.56.
4137,2013-11-01 06:00:00,ACTIVITY_DROP,204.7442,634.5609999999999,Current activity 204.74 is at or below 0.70x the within-day baseline 634.56.
4137,2013-11-01 07:00:00,ACTIVITY_DROP,251.0899,634.5609999999999,Current activity 251.09 is at or below 0.70x the within-day baseline 634.56.
4137,2013-11-01 08:00:00,ACTIVITY_SPIKE,392.0376,634.5609999999999,"Activity increased from 251.09 to 392.04, at least 1.50x the previous hour."
4137,2013-11-01 08:00:00,ACTIVITY_DROP,392.0376,634.5609999999999,Current activity 392.04 is at or below 0.70x the within-day baseline 634.56.
4137,2013-11-01 09:00:00,ACTIVITY_SPIKE,634.5609999999999,618.9619,"Activity increased from 392.04 to 634.56, at least 1.50x the previous hour."
4138,2013-11-01 00:00:00,ACTIVITY_DROP,302.7885,628.4438,Current activity 302.79 is at or below 0.70x the within-day baseline 628.44.
4138,2013-11-01 01:00:00,ACTIVITY_DROP,228.9193,628.4438,Current activity 228.92 is at or below 0.70x the within-day baseline 628.44.
4138,2013-11-01 02:00:00,ACTIVITY_DROP,230.1054,628.4438,Current activity 230.11 is at or below 0.70x the within-day baseline 628.44.
4138,2013-11-01 03:00:00,ACTIVITY_DROP,204.62759999999997,628.4438,Current activity 204.63 is at or below 0.70x the within-day baseline 628.44.
